gperc,nb,thres,sh,avg,total
0,2450913,-11300000,-0.00286,-109407,-2.68147E+11
1,2452285,-61200,-0.00156,-59858,-1.46789E+11
2,2451618,-59600,-0.00128,-48970,-1.20056E+11
3,2452552,-37900,-0.00088,-33791,-82874184632
4,2451296,-31600,-0.0007,-26671,-65378515616
5,2451956,-23500,-0.00059,-22773,-55838393988
6,2453151,-22500,-0.00058,-22322,-54759236622
7,2451891,-21700,-0.00057,-21719,-53252620629
8,2451265,-21700,-0.00052,-19842,-48638000130
9,2452169,-17900,-0.00044,-16869,-41365638861
10,2452051,-16000,-0.00041,-15697,-38489844547
11,2452785,-15700,-0.00041,-15595,-38251182075
12,2452289,-14900,-0.00037,-14325,-35129039925
13,2448375,-13900,-0.00034,-13171,-32247547125
14,2454585,-13000,-0.00034,-12953,-31794239505
15,2452775,-12800,-0.00031,-11922,-29241983550
16,2451632,-10900,-0.00024,-9199,-22552562768
17,2451281,-6650,-0.00012,-4773,-11699964213
18,2452862,-3250,-4E-05,-1562,-3831370444
19,2451935,0,0,0,0
20,2451857,0,0,0,0
21,2451528,0,0,0,0
22,2450715,0,0,0,0
23,2452067,0,0,0,0
24,2451670,0,0,60,147100200
25,2451908,600,2E-05,731,1792344748
26,2453800,760,2E-05,952,2336017600
27,2448931,1250,3E-05,1333,3264425023
28,2455021,1350,4E-05,1448,3554870408
29,2452747,1650,4E-05,1673,4103445731
30,2451757,1750,6E-05,2386,5849892202
31,2452145,3050,0.00011,4397,10782081565
32,2451879,6050,0.00021,7955,19504697445
33,2452021,9900,0.0003,11421,28004531841
34,2452053,12400,0.00037,14175,34757851275
35,2452689,16000,0.00045,17226,42250020714
36,2452045,18800,0.00054,20671,50686222195
37,2450698,22400,0.00064,24560,60189142880
38,2453168,25800,0.00073,28109,68956099312
39,2451070,30200,0.00081,30910,75762573700
40,2452647,32200,0.00089,34237,83971275339
41,2451153,36100,0.00099,38027,93209995131
42,2452238,39800,0.00109,41794,1.02489E+11
43,2452318,43600,0.00118,45095,1.10587E+11
44,2452079,46800,0.00125,47933,1.17536E+11
45,2452267,49100,0.00132,50433,1.23675E+11
46,2451257,52400,0.00142,54454,1.33481E+11
47,2452908,56400,0.00153,58482,1.43451E+11
48,2451118,60500,0.00164,62655,1.53575E+11
49,2453268,65000,0.00176,67505,1.65608E+11
50,2451918,70000,0.00189,72435,1.77605E+11
51,2450856,74800,0.00201,77168,1.89128E+11
52,2452266,79500,0.00214,81866,2.00757E+11
53,2453033,84400,0.00228,87092,2.1364E+11
54,2451918,90000,0.00242,92758,2.27435E+11
55,2451756,95700,0.00258,98769,2.42157E+11
56,2451425,102000,0.00271,103975,2.54887E+11
57,2453052,107000,0.00288,110326,2.70635E+11
58,2451716,114000,0.00306,117202,2.87346E+11
59,2451091,121000,0.00323,123727,3.03266E+11
60,2451925,125000,0.00336,128682,3.15519E+11
61,2452148,132000,0.00355,135813,3.33034E+11
62,2453301,140000,0.00375,143520,3.52098E+11
63,2450757,148000,0.00396,151672,3.71711E+11
64,2452202,156000,0.00419,160531,3.93654E+11
65,2452923,165000,0.00444,170060,4.17144E+11
66,2451759,175000,0.00469,179662,4.40488E+11
67,2452313,184000,0.00495,189620,4.65008E+11
68,2451791,195000,0.00523,200289,4.91067E+11
69,2451949,206000,0.00552,211289,5.1807E+11
70,2451302,217000,0.00582,223041,5.46741E+11
71,2453132,229000,0.00615,235215,5.77013E+11
72,2451287,241000,0.00647,247889,6.07647E+11
73,2451365,255000,0.00682,261155,6.40186E+11
74,2453276,268000,0.0072,275646,6.76236E+11
75,2452008,284000,0.00759,290784,7.13005E+11
76,2451343,299000,0.00803,307402,7.53548E+11
77,2451467,316000,0.0085,325532,7.98031E+11
78,2453202,335000,0.00899,344094,8.44132E+11
79,2451346,354000,0.00948,363177,8.90272E+11
80,2451448,373000,0.01002,383717,9.40662E+11
81,2452368,395000,0.01058,405019,9.93256E+11
82,2451933,416000,0.01116,427521,1.04825E+12
83,2452216,440000,0.01182,452444,1.10949E+12
84,2452645,466000,0.01257,481137,1.18006E+12
85,2451388,498000,0.01339,513024,1.25762E+12
86,2452823,529000,0.0143,547389,1.34265E+12
87,2451192,567000,0.01532,586897,1.4386E+12
88,2452401,609000,0.016519999,632634,1.55147E+12
89,2451442,656000,0.01784,683173,1.67476E+12
90,2451685,712000,0.019400001,742913,1.82139E+12
91,2453379,776000,0.02135,817184,2.00486E+12
92,2451861,858000,0.02361,903974,2.21642E+12
93,2451024,955000,0.026450001,1013209,2.4834E+12
94,2452892,1080000,0.030099999,1152134,2.82606E+12
95,2452098,1230000,0.034880001,1335591,3.275E+12
96,2452036,1450000,0.041730002,1597796,3.91785E+12
97,2451403,1780000,0.05356,2051445,5.02892E+12
98,2452882,2380000,0.078539997,3006253,7.37398E+12
99,245282,3980000,0.01076,4118993,1.01031E+12
99.09999847,245130,4280000,0.01162,4449360,1.09067E+12
99.19999695,245282,4640000,0.01276,4885074,1.19822E+12
99.30000305,245165,5140000,0.01417,5427634,1.33067E+12
